Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Voltage Rating,Case Code - in,Case Code - mm,Series
R_ERJ-3EKF14R3V,R,14.3 Ω,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 14.3 Ω 1% 0603 75V,Panasonic,ERJ-3EKF14R3V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1430V,R,143 Ω,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 143 Ω 1% 0603 75V,Panasonic,ERJ-3EKF1430V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1431V,R,1.43 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1.43 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1431V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1432V,R,14.3 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 14.3 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1432V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1433V,R,143 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 143 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1433V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF14R7V,R,14.7 Ω,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 14.7 Ω 1% 0603 75V,Panasonic,ERJ-3EKF14R7V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1470V,R,147 Ω,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 147 Ω 1% 0603 75V,Panasonic,ERJ-3EKF1470V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1471V,R,1.47 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1.47 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1471V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1472V,R,14.7 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 14.7 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1472V,1%,75V,0603,1608,ERJ-3EK
R_ERJ-3EKF1473V,R,147 kΩ,footprints:R_0603_1608Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 147 kΩ 1% 0603 75V,Panasonic,ERJ-3EKF1473V,1%,75V,0603,1608,ERJ-3EK
