Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Voltage Rating
R_000160,R,18.7 kΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 18.7 kΩ 1% 0805 150V,Panasonic,ERJ-6ENF1872V,1%,150V
R_000161,R,187 kΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 187 kΩ 1% 0805 150V,Panasonic,ERJ-6ENF1873V,1%,150V
R_000162,R,1.87 MΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1.87 MΩ 1% 0805 150V,Panasonic,ERJ-6ENF1874V,1%,150V
R_000163,R,19.1 Ω,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 19.1 Ω 1% 0805 150V,Panasonic,ERJ-6ENF19R1V,1%,150V
R_000164,R,191 Ω,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 191 Ω 1% 0805 150V,Panasonic,ERJ-6ENF1910V,1%,150V
R_000165,R,1.91 kΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1.91 kΩ 1% 0805 150V,Panasonic,ERJ-6ENF1911V,1%,150V
R_000166,R,19.1 kΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 19.1 kΩ 1% 0805 150V,Panasonic,ERJ-6ENF1912V,1%,150V
R_000167,R,191 kΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 191 kΩ 1% 0805 150V,Panasonic,ERJ-6ENF1913V,1%,150V
R_000168,R,1.91 MΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1.91 MΩ 1% 0805 150V,Panasonic,ERJ-6ENF1914V,1%,150V
R_000169,R,19.6 Ω,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 19.6 Ω 1% 0805 150V,Panasonic,ERJ-6ENF19R6V,1%,150V
R_000170,R,196 Ω,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 196 Ω 1% 0805 150V,Panasonic,ERJ-6ENF1960V,1%,150V
R_000171,R,1.96 kΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1.96 kΩ 1% 0805 150V,Panasonic,ERJ-6ENF1961V,1%,150V
R_000172,R,19.6 kΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 19.6 kΩ 1% 0805 150V,Panasonic,ERJ-6ENF1962V,1%,150V
R_000173,R,196 kΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 196 kΩ 1% 0805 150V,Panasonic,ERJ-6ENF1963V,1%,150V
R_000174,R,1.96 MΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 1.96 MΩ 1% 0805 150V,Panasonic,ERJ-6ENF1964V,1%,150V
R_000175,R,20 Ω,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 20 Ω 1% 0805 150V,Panasonic,ERJ-6ENF20R0V,1%,150V
R_000176,R,200 Ω,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 200 Ω 1% 0805 150V,Panasonic,ERJ-6ENF2000V,1%,150V
R_000177,R,2 kΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 2 kΩ 1% 0805 150V,Panasonic,ERJ-6ENF2001V,1%,150V
R_000178,R,20 kΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 20 kΩ 1% 0805 150V,Panasonic,ERJ-6ENF2002V,1%,150V
R_000179,R,200 kΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 200 kΩ 1% 0805 150V,Panasonic,ERJ-6ENF2003V,1%,150V
R_000180,R,2 MΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 2 MΩ 1% 0805 150V,Panasonic,ERJ-6ENF2004V,1%,150V
R_000181,R,20.5 Ω,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 20.5 Ω 1% 0805 150V,Panasonic,ERJ-6ENF20R5V,1%,150V
R_000182,R,205 Ω,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 205 Ω 1% 0805 150V,Panasonic,ERJ-6ENF2050V,1%,150V
R_000183,R,2.05 kΩ,footprints:R_0805_2012Metric,https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,RES SMD 2.05 kΩ 1% 0805 150V,Panasonic,ERJ-6ENF2051V,1%,150V
